player_id,year,matches_played,runs,highest_score,bat_avg,centuries,wickets,best_bowling_innings,bowl_avg,five_wicket_hauls,catches,stumps,ave_diff,match_format,id
505120,2022,5,21.0,18*,10.5,0.0,4.0,2/49,45.75,0.0,3.0,0.0,-35.24,ODI,231
505120,2023,2,65.0,48*,65.0,0.0,3.0,2/41,27.0,0.0,0.0,0.0,38.0,ODI,232
505120,2016,2,9.0,9,9.0,0.0,1.0,1/25,43.0,0.0,3.0,0.0,-33.99,T20I,233
505120,2018,13,73.0,29,14.6,0.0,9.0,3/27,31.77,0.0,7.0,0.0,-17.17,T20I,234
505120,2019,6,,,,,7.0,2/23,19.28,0.0,3.0,0.0,,T20I,235
505120,2020,6,65.0,23,21.66,0.0,13.0,5/24,12.46,1.0,4.0,0.0,9.2,T20I,236
505120,2021,13,87.0,27,7.9,0.0,13.0,6/30,23.07,1.0,9.0,0.0,-15.16,T20I,237
505120,2022,7,43.0,26,14.33,0.0,5.0,1/14,29.4,0.0,5.0,0.0,-15.06,T20I,238
505120,2024,2,2.0,2,2.0,0.0,1.0,1/39,56.0,0.0,1.0,0.0,-53.99,T20I,239
4089,1879,1,73.0,73,73.0,0.0,,,,,1.0,0.0,,Test,240
4089,1880,1,40.0,32,20.0,0.0,3.0,3/111,37.0,0.0,1.0,0.0,-16.99,Test,241
4089,1881,1,46.0,38,23.0,0.0,0.0,,,0.0,2.0,0.0,,Test,242
4089,1882,4,198.0,70,33.0,0.0,0.0,,,0.0,4.0,0.0,,Test,243
4089,1883,3,200.0,94,33.33,0.0,1.0,1/17,17.0,0.0,0.0,0.0,16.33,Test,244
4089,1884,4,51.0,27,10.2,0.0,,,,,3.0,0.0,,Test,245
4089,1885,3,95.0,51,15.83,0.0,,,,,3.0,0.0,,Test,246
4089,1887,1,19.0,15*,19.0,0.0,,,,,0.0,0.0,,Test,247
4089,1888,4,23.0,13,2.87,0.0,,,,,3.0,0.0,,Test,248
4089,1892,3,202.0,91,33.66,0.0,,,,,4.0,0.0,,Test,249
4089,1893,3,161.0,60,32.2,0.0,,,,,0.0,0.0,,Test,250
46132,1935,7,156.0,73*,22.28,0.0,23.0,4/31,39.3,0.0,4.0,0.0,-17.01,Test,251
46132,1936,3,27.0,9,4.5,0.0,4.0,2/69,62.75,0.0,2.0,0.0,-58.24,Test,252
46132,1938,2,64.0,64*,64.0,0.0,3.0,3/117,85.0,0.0,1.0,0.0,-20.99,Test,253
46132,1939,3,51.0,27,10.2,0.0,10.0,5/58,41.7,1.0,1.0,0.0,-31.49,Test,254
44102,2006,3,119.0,56,39.66,0.0,1.0,1/9,9.0,0.0,1.0,0.0,30.66,ODI,255
44102,2007,15,144.0,42,13.09,0.0,22.0,4/42,23.04,0.0,3.0,0.0,-9.95,ODI,256
44102,2008,11,221.0,47*,24.55,0.0,12.0,4/19,30.16,0.0,2.0,0.0,-5.61,ODI,257
44102,2009,6,83.0,33,20.75,0.0,2.0,2/38,23.0,0.0,2.0,0.0,-2.24,ODI,258
44102,2010,5,77.0,28,15.4,0.0,1.0,1/28,122.0,0.0,2.0,0.0,-106.59,ODI,259
44102,2011,2,22.0,22,11.0,0.0,4.0,3/32,22.0,0.0,1.0,0.0,-10.99,ODI,260
